Ano	IPCA	ExpBovi	pUS	pReias
2005	2.30	1783319747	1.97	4.81
2006	3.75	2451935575	2.24	4.88
2007	25.22	2682981110	2.34	4.56
2008	18.78	3669213800	3.82	7.01
2009	-2.35	2643815489	3.12	6.23
2010	33.35	3360029105	3.88	6.83
2011	4.92	3498665747	4.82	8.07
2012	-2.41	3637354957	4.49	8.78
2013	3.28	4470459462	4.34	9.37
2014	21.28	4830607137	4.55	10.71
2015	10.65	3918622546	4.14	13.78
2016	5.37	3570668463	3.84	13.38
2017	-4.59	4356057367	4.07	13
2018	3.27	4521185068	3.94	14.4
2019	33.30	5634816523	4.14	16.33
