Ano	cafe_IPCA	cafe_soluvel	cafe_torrado	carne_porco_IPCA	carne_suina	miudos
1997	100.00	100	100	100.00	100	100.00
1998	86.88	104.99	120.88	115.40	86.68	87.98
1999	88.12	120.71	124.27	142.30	101.96	100.26
2000	85.73	112.12	100.12	142.19	97.52	103.71
2001	97.09	108.57	62.86	163.60	132.92	129.87
2002	108.37	119.60	64.52	170.91	133.44	122.10
2003	117.87	143.91	143.47	206.14	143.96	150.48
2004	118.83	156.21	187.36	261.22	179.26	174.12
2005	123.53	158.63	195.89	240.95	189.80	160.44
2006	124.27	170.04	200.62	213.29	174.33	143.36
2007	138.85	169.98	191.41	243.98	160.98	150.40
2008	143.79	192.05	198.48	300.09	207.47	181.93
2009	143.36	196.42	220.98	269.18	162.92	161.31
2010	146.94	168.93	184.37	321.24	178.01	149.62
2011	183.84	195.03	245.01	315.75	186.99	181.52
2012	206.34	236.00	326.35	343.79	199.82	225.71
2013	195.10	242.92	344.53	368.33	228.40	239.99
2014	207.97	244.80	348.63	429.85	301.20	293.47
2015	231.29	328.11	404.42	440.68	305.60	287.98
2016	278.33	328.77	422.96	443.98	275.85	304.16
2017	296.67	346.60	479.33	442.16	290.48	341.50
2018	272.29	349.29	466.56	440.39	261.01	341.77
2019	252.16	330.71	402.16	560.45	328.99	313.07
