ano	limao_IPCA	limao_exp	fuba_IPCA	farinha_milho_exp
1997	100	100	100	100
1998	83.46	129.26	102.46	102.5851856
1999	84.24	208.01	127.10163	84.19513554
2000	99.68	161.84	132.948305	84.91459339
2001	97.08	161.67	140.9252033	135.0273195
2002	157.97	248.78	200.719767	122.6451293
2003	149.05	252.08	219.2060576	183.6606811
2004	268.14	214.04	218.3073127	200.4272541
2005	172.46	164.84	216.6481772	118.3774512
2006	244.35	197.19	211.9685765	105.7794237
2007	222.97	231.79	238.4222549	111.8939682
2008	338.67	194.27	272.0874773	154.0217436
2009	362.44	170.10	251.1639503	154.471985
2010	362.88	172.94	241.7453021	128.3319022
2011	254.12	215.76	285.4528528	177.6231083
2012	329.24	256.09	320.5635537	181.3951288
2013	351.43	254.43	332.2961797	181.1734429
2014	503.07	262.12	343.1290352	187.2272371
2015	562.44	338.32	398.681626	220.8709588
2016	551.13	316.32	505.4086972	269.9498025
2017	574.17	313.69	449.6621179	211.6193734
2018	465.08	347.16	457.7110698	234.1950315
2019	519.54	366.18	433.7270098	235.4004563
