ano	IPCA	oleo_soja_exp	grao_soja_exp
1997	100	100	100
1998	98.6	123.6386562	85.83220593
1999	102.5604563	139.7265115	102.3471092
2000	87.55586158	106.5250378	109.8460118
2001	128.1642702	124.0464799	129.0852841
2002	221.8139024	205.089965	175.2590699
2003	213.207523	266.9124826	209.8548042
2004	189.1790351	281.8102522	258.9737128
2005	156.6213232	198.8559976	183.3133194
2006	181.5079252	188.958482	156.0435403
2007	215.903677	245.7474771	173.8189204
2008	225.0795833	365.2909016	259.1213483
2009	221.6583736	268.4162887	252.4393818
2010	235.8888412	264.7402452	211.2463397
2011	251.7405714	358.9605373	261.9117675
2012	311.1009981	403.690556	327.5890825
2013	257.9338375	376.1156462	363.562134
2014	250.6343099	352.3177991	379.0180297
2015	293.6682209	400.3129326	406.8461142
2016	333.3427976	430.2873458	413.5025761
2017	315.3422865	421.2279793	380.7779081
2018	313.7340408	460.7662256	458.6593647
2019	341.3740098	448.6133304	439.0953581
