Ano	IPCA_cristal	IPCA_Refinado	refinadoExp	brutoExp
1997	100	100	100	100
1998	89.3	93.5	89.1	91.8
1999	119.3	123.0	104.5	93.6
2000	160.5	168.7	117.1	113.2
2001	168.1	154.9	150.4	161.6
2002	255.1	257.5	158.9	150.6
2003	174.0	213.0	167.5	169.3
2004	208.0	231.7	168.5	160.9
2005	237.7	238.9	179.2	175.8
2006	276.9	276.5	257.7	231.9
2007	197.5	213.6	174.5	167.4
2008	222.6	241.6	182.0	170.2
2009	362.9	369.6	242.9	226.6
2010	454.7	450.9	276.0	266.2
2011	448.8	463.4	348.4	328.1
2012	409.5	448.5	362.8	349.4
2013	371.1	383.6	331.4	318.9
2014	371.0	374.8	308.8	315.5
2015	482.3	488.4	362.5	355.0
2016	604.3	603.8	458.0	419.9
2017	469.4	493.8	449.5	427.9
2018	439.6	464.5	432.7	376.9
2019	454.8	511.7	454.6	379.7
